#  dtheta [rad],   non-shadow efficiency,    error,  absolute efficiency,   error
-0.0005 0.008445945945945943 0.0010052115611655014 7e-05 8.366307429206747e-06
-0.00045 0.020149613899613894 0.0015434351166719812 0.000167 1.2921768880459052e-05
-0.0004 0.04307432432432434 0.0022300955412513125 0.000357 1.8891070668440154e-05
-0.00035 0.08614864864864868 0.0030820319935943455 0.000714 2.6711237410498228e-05
-0.0003 0.15082046332046328 0.003931017924938802 0.00125 3.5333235062756425e-05
-0.00025 0.2466216216216216 0.004734752470493726 0.002044 4.516438933496167e-05
-0.0002 0.3672779922779923 0.005295159567824731 0.003044 5.508842041663565e-05
-0.00015 0.5091698841698842 0.0054912609716637785 0.00422 6.48243133399807e-05
-0.0001 0.6438223938223938 0.005260069391122174 0.005336 7.285277691344373e-05
-5e-05 0.7667712355212355 0.004645143028177813 0.006355 7.946454539604439e-05
0.0 0.8560569498069498 0.003855864893259218 0.007095 8.393247866588953e-05
5e-05 0.9183156370656371 0.0030084346474999685 0.007611 8.690841546708812e-05
0.0001 0.9588561776061776 0.002181745969839789 0.007947 8.879101976551457e-05
0.00015 0.979488416988417 0.0015569489415226307 0.008118 8.973348358333137e-05
0.0002 0.9917953667953668 0.0009908678822446635 0.00822 9.029081680879845e-05
0.00025 0.997104247104247 0.0005902366344261273 0.008264 9.05301403069718e-05
0.0003 0.9985521235521235 0.00041766323735094936 0.008276 9.059529691987329e-05
0.00035 0.9997586872586872 0.00017061328646260276 0.008286 9.06495571086809e-05
0.0004 1.0 0.0 0.008288 9.066040511711824e-05
0.00045 1.0 0.0 0.008288 9.066040511711824e-05
0.0005 1.0 0.0 0.008288 9.066040511711824e-05
